Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Kokot001;E0:3F:49:3C:63:A4;;1;No;WPA2,AES-CCM;No;65.0;0;716;0;2324;0;0;2324;;;Wed Oct 28 17:30:46 2020;Wed Oct 28 17:32:02 2020;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Honor 10;7C:A1:77:3A:27:8E;;1;No;OPN,None;No;65.0;0;738;0;7794;0;0;7794;;;Wed Oct 28 17:30:46 2020;Wed Oct 28 17:32:02 2020;-16;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.43.155;
